,Loyalty#,First Name,Last Name,Customer Name,Country,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Cancelled,Time on Program,EnrollmentDay
49,679908,Deon,Biery,Deon Biery,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Female,Bachelor,Rural,62445.0,Married,Star,2018-08-15,,3921.02,Standard,N,1233 days,Wednesday
50,704150,Raymond,Hokkanen,Raymond Hokkanen,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R6Y 4T5,Male,Bachelor,Urban,62445.0,Married,Star,2017-10-27,,3921.02,Standard,N,1525 days,Friday
51,869743,Sima,Parton,Sima Parton,Canada,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,Female,Bachelor,Suburban,56480.0,Single,Star,2019-11-10,2020-07-10,3924.42,Standard,Y,243 days,Sunday
52,596179,Kathryne,Kloeck,Kathryne Kloeck,Canada,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Female,Bachelor,Suburban,25927.0,Single,Star,2017-03-28,,3933.81,Standard,N,1738 days,Tuesday
53,370450,Cathryn,Sundell,Cathryn Sundell,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Female,High School or Below,Urban,20920.0,Married,Star,2015-11-02,,3934.1,Standard,N,2250 days,Monday
54,501030,Ciera,Kalfa,Ciera Kalfa,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Bachelor,Urban,84229.0,Married,Star,2020-03-25,,3934.71,Standard,N,645 days,Wednesday
55,878633,Victor,Toplin,Victor Toplin,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Female,Doctor,Rural,19245.0,Married,Star,2016-12-02,,3936.79,Standard,N,1854 days,Friday
56,285938,Glen,Randall,Glen Randall,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Female,Bachelor,Suburban,60021.0,Married,Star,2017-09-03,,3939.01,Standard,N,1579 days,Sunday
57,588237,Teresia,Mckendry,Teresia Mckendry,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Male,Bachelor,Rural,60021.0,Married,Star,2016-11-25,,3939.01,Standard,N,1861 days,Friday
58,645280,Natalya,Boardwine,Natalya Boardwine,Canada,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Male,Bachelor,Suburban,60021.0,Married,Star,2015-12-15,,3939.01,Standard,N,2207 days,Tuesday
59,864324,Cherri,Flavell,Cherri Flavell,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Female,Bachelor,Rural,60021.0,Married,Star,2021-06-03,,3939.01,Standard,N,210 days,Thursday
60,124678,Eddie,Ribsamen,Eddie Ribsamen,Canada,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,Male,Doctor,Urban,18375.0,Married,Star,2016-06-13,,3954.34,Standard,N,2026 days,Monday
61,186015,Florrie,Thach,Florrie Thach,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Doctor,Rural,18375.0,Married,Star,2018-09-05,,3954.34,Standard,N,1212 days,Wednesday
62,461108,Polly,Mayville,Polly Mayville,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,Doctor,Urban,18375.0,Married,Star,2021-10-15,,3954.34,Standard,N,76 days,Friday
63,589580,Elodia,Kieffer,Elodia Kieffer,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Male,Doctor,Suburban,18375.0,Married,Star,2018-08-27,,3954.34,Standard,N,1221 days,Monday
64,623688,Dwayne,Cimaglia,Dwayne Cimaglia,Canada,Ontario,London,42.984924,-81.245277,M5B 3E4,Female,Doctor,Rural,18375.0,Married,Star,2019-05-07,,3954.34,Standard,N,968 days,Tuesday
65,751616,Rocco,Niederhauser,Rocco Niederhauser,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Female,Doctor,Suburban,18375.0,Married,Star,2021-04-17,,3954.34,2021 Promotion,N,257 days,Saturday
66,256147,Joleen,Gessford,Joleen Gessford,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Female,College,Suburban,0.0,Married,Star,2015-09-04,,3958.0,Standard,N,2309 days,Friday
67,329382,Ngoc,Dubuisson,Ngoc Dubuisson,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,College,Suburban,0.0,Single,Star,2015-08-27,,3961.59,2021 Promotion,N,2317 days,Thursday
68,140392,Hilary,Shain,Hilary Shain,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Female,Bachelor,Rural,88701.0,Married,Star,2016-07-22,,3963.39,Standard,N,1987 days,Friday
69,541008,Jeanmarie,Resch,Jeanmarie Resch,Canada,Ontario,London,42.984924,-81.245277,M5B 3E4,Male,Bachelor,Suburban,38096.0,Divorced,Star,2021-04-04,,3963.4,2021 Promotion,N,270 days,Sunday
70,230908,Carmelia,Burkham,Carmelia Burkham,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Doctor,Suburban,23474.0,Divorced,Star,2015-05-27,,3964.15,Standard,N,2409 days,Wednesday
71,972581,Quiana,Ciolli,Quiana Ciolli,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,High School or Below,Rural,14616.0,Married,Star,2019-02-13,,3964.53,Standard,N,1051 days,Wednesday
72,357549,Elisha,Furna,Elisha Furna,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Female,Bachelor,Rural,60817.0,Single,Star,2021-09-21,2019-05-21,3964.73,Standard,Y,-854 days,Tuesday
73,157729,Tobi,Kriss,Tobi Kriss,Canada,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Male,Bachelor,Rural,72439.0,Married,Star,2021-03-18,,3966.13,2021 Promotion,N,287 days,Thursday
74,910875,Alaina,Rumble,Alaina Rumble,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Female,Bachelor,Urban,72439.0,Married,Star,2015-11-03,,3966.13,Standard,N,2249 days,Tuesday
75,501704,Jadwiga,Howry,Jadwiga Howry,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Male,College,Suburban,0.0,Divorced,Star,2016-05-03,,3974.86,Standard,N,2067 days,Tuesday
76,529098,Sherril,Roofner,Sherril Roofner,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Female,College,Urban,0.0,Divorced,Star,2020-10-23,,3974.86,Standard,N,433 days,Friday
77,265297,Ebonie,Radde,Ebonie Radde,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Female,Bachelor,Urban,39101.0,Married,Star,2021-07-17,2019-03-17,3978.67,Standard,Y,-853 days,Saturday
78,567875,Lady,Tlumacki,Lady Tlumacki,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Female,Bachelor,Suburban,96413.0,Married,Star,2020-05-15,,3979.72,Standard,N,594 days,Friday
79,688524,Darius,Dehnert,Darius Dehnert,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Female,Bachelor,Urban,98333.0,Married,Star,2016-03-26,,3980.42,Standard,N,2105 days,Saturday
80,269070,Virginia,Swida,Virginia Swida,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Master,Rural,17220.0,Married,Star,2016-01-14,,3985.32,Standard,N,2177 days,Thursday
81,387705,Paulene,Saluan,Paulene Saluan,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Female,Master,Suburban,17220.0,Married,Star,2016-04-30,,3985.32,Standard,N,2070 days,Saturday
82,923293,Lauretta,Craze,Lauretta Craze,Canada,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,Male,Bachelor,Suburban,75007.0,Divorced,Star,2019-06-12,,3985.55,Standard,N,932 days,Wednesday
83,283314,Vi,Scialdone,Vi Scialdone,Canada,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,Female,Bachelor,Suburban,54964.0,Married,Star,2016-04-17,2018-02-03,3991.73,Standard,Y,657 days,Sunday
84,322102,Hermelinda,Hilst,Hermelinda Hilst,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,College,Suburban,0.0,Married,Star,2016-08-19,2017-04-19,3992.58,Standard,Y,243 days,Friday
85,789157,Lenora,Millhiser,Lenora Millhiser,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Female,College,Rural,0.0,Single,Star,2021-09-25,,3995.36,Standard,N,96 days,Saturday
86,654748,Lona,Hyer,Lona Hyer,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Female,Bachelor,Rural,46210.0,Married,Star,2020-04-03,2020-12-03,3996.77,Standard,Y,244 days,Friday
87,984713,Remedios,Swinea,Remedios Swinea,Canada,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,Female,College,Suburban,0.0,Single,Star,2021-08-04,,3997.48,Standard,N,148 days,Wednesday
88,114835,Willard,Powal,Willard Powal,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Female,Master,Suburban,19782.0,Divorced,Star,2020-07-03,,4001.52,Standard,N,545 days,Friday
89,328936,Yvonne,Tear,Yvonne Tear,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Female,Bachelor,Suburban,28987.0,Married,Star,2018-03-21,,4005.72,Standard,N,1380 days,Wednesday
90,845864,Josue,Disalvi,Josue Disalvi,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Female,Doctor,Urban,15413.0,Married,Star,2016-04-24,,4013.85,Standard,N,2076 days,Sunday
91,645265,Stella,Nageotte,Stella Nageotte,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Male,Bachelor,Suburban,56586.0,Married,Star,2016-03-05,,4013.95,Standard,N,2126 days,Saturday
92,223587,Nelia,Gallipo,Nelia Gallipo,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Female,Bachelor,Rural,93284.0,Married,Star,2020-08-20,,4013.96,Standard,N,497 days,Thursday
93,158560,Hulda,Kvam,Hulda Kvam,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Male,Bachelor,Suburban,37384.0,Married,Star,2018-12-11,,4014.45,Standard,N,1115 days,Tuesday
94,417584,Lucina,Moncion,Lucina Moncion,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,Bachelor,Suburban,37384.0,Married,Star,2017-05-17,,4014.45,Standard,N,1688 days,Wednesday
95,566033,Cruz,Arlt,Cruz Arlt,Canada,Ontario,Toronto,43.653225,-79.383186,M2P 4F6,Male,College,Urban,0.0,Married,Star,2018-06-16,2019-07-23,4015.21,Standard,Y,402 days,Saturday
96,957912,Lacy,Georgopoulos,Lacy Georgopoulos,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Female,Bachelor,Urban,80055.0,Married,Star,2021-02-17,,4015.34,2021 Promotion,N,316 days,Wednesday
97,425854,Tobi,Sather,Tobi Sather,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Female,High School or Below,Rural,10074.0,Married,Star,2019-11-22,,4016.13,Standard,N,769 days,Friday
98,174896,Freeman,Decristoforo,Freeman Decristoforo,Canada,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,Female,College,Urban,0.0,Single,Star,2018-04-16,2018-12-16,4016.54,Standard,Y,244 days,Monday
99,695855,Mac,Dering,Mac Dering,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Female,College,Suburban,0.0,Divorced,Star,2016-04-07,,4019.38,Standard,N,2093 days,Thursday
100,699511,Tiffany,Baradi,Tiffany Baradi,Canada,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Female,College,Rural,0.0,Divorced,Star,2017-07-06,,4019.38,Standard,N,1638 days,Thursday
101,377322,Lura,Blyden,Lura Blyden,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Female,Bachelor,Urban,41833.0,Married,Star,2019-05-08,,4023.81,Standard,N,967 days,Wednesday
102,511053,Meghan,Douyon,Meghan Douyon,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Male,Bachelor,Suburban,41833.0,Married,Star,2018-03-13,,4023.81,Standard,N,1388 days,Tuesday
103,890753,Faustina,Sempek,Faustina Sempek,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Male,College,Urban,0.0,Married,Star,2020-09-02,,4025.1,Standard,N,484 days,Wednesday
104,796670,Maryetta,Castera,Maryetta Castera,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Female,Bachelor,Suburban,21359.0,Married,Star,2017-02-12,,4035.68,Standard,N,1782 days,Sunday
105,556136,Grisel,Kapps,Grisel Kapps,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Female,College,Rural,0.0,Married,Star,2020-01-25,,4035.77,Standard,N,705 days,Saturday
106,513081,Louis,Beaucage,Louis Beaucage,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Female,Bachelor,Rural,90760.0,Married,Star,2018-11-05,,4037.5,Standard,N,1151 days,Monday
107,930718,Willena,Ledee,Willena Ledee,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Female,High School or Below,Suburban,21586.0,Married,Star,2018-07-14,,4037.55,Standard,N,1265 days,Saturday
108,235872,Ima,Ghiloni,Ima Ghiloni,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Female,Doctor,Urban,13330.0,Single,Star,2016-03-20,,4046.94,Standard,N,2111 days,Sunday
109,881142,Luanna,Hatlee,Luanna Hatlee,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Female,Doctor,Suburban,13330.0,Single,Star,2019-09-27,2020-05-27,4046.94,Standard,Y,243 days,Friday
110,295147,Timothy,Loli,Timothy Loli,Canada,British Columbia,Kelowna,49.887951,-119.49601,V09 2E9,Male,Bachelor,Urban,92801.0,Married,Star,2020-05-21,,4048.16,Standard,N,588 days,Thursday
111,306110,Janel,Ynocencio,Janel Ynocencio,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Male,Bachelor,Suburban,44661.0,Married,Star,2016-05-12,,4053.37,Standard,N,2058 days,Thursday
112,295217,Ruthanne,Cavicchi,Ruthanne Cavicchi,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Female,Doctor,Urban,11621.0,Divorced,Star,2019-06-06,,4059.57,Standard,N,938 days,Thursday
113,711363,Mariella,Corkron,Mariella Corkron,Canada,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,Male,College,Suburban,0.0,Married,Star,2021-04-24,2021-12-24,4064.11,2021 Promotion,Y,244 days,Saturday
114,591731,Mindy,Sadee,Mindy Sadee,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Male,Bachelor,Rural,26599.0,Married,Star,2016-09-25,,4064.18,Standard,N,1922 days,Sunday
115,326905,Joel,Guyette,Joel Guyette,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Female,College,Urban,0.0,Married,Star,2020-02-07,,4068.09,Standard,N,692 days,Friday
116,375511,Brandon,Geissler,Brandon Geissler,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Female,Bachelor,Urban,37435.0,Single,Star,2017-07-06,,4070.05,Standard,N,1638 days,Thursday
117,485283,Magali,Bilich,Magali Bilich,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Male,Bachelor,Suburban,96443.0,Single,Star,2020-09-05,,4072.85,Standard,N,481 days,Saturday
118,760158,Claudette,Ganga,Claudette Ganga,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Female,Bachelor,Suburban,29549.0,Divorced,Star,2021-02-18,,4076.63,2021 Promotion,N,315 days,Thursday
119,797685,Malka,Policicchio,Malka Policicchio,Canada,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,Male,College,Suburban,0.0,Married,Star,2020-06-03,,4079.13,Standard,N,575 days,Wednesday
120,216467,Misti,Hussein,Misti Hussein,Canada,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Male,Doctor,Suburban,13483.0,Married,Star,2017-07-13,,4083.56,Standard,N,1631 days,Thursday
121,958839,Carleen,Isaac,Carleen Isaac,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Male,Doctor,Rural,13483.0,Married,Star,2021-08-16,,4083.56,Standard,N,136 days,Monday
122,539673,Song,Wiesen,Song Wiesen,Canada,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,Female,Bachelor,Urban,24123.0,Married,Star,2018-02-20,2021-06-06,4087.51,Standard,Y,1202 days,Tuesday
124,484718,Rubi,Mccluney,Rubi Mccluney,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Bachelor,Urban,60759.0,Single,Star,2015-06-24,,4089.46,Standard,N,2381 days,Wednesday
